Date,Close
7-May-20,"23,875.89"
6-May-20,"23,664.64"
5-May-20,"23,883.09"
4-May-20,"23,749.76"
1-May-20,"23,723.69"
30-Apr-20,"24,345.72"
29-Apr-20,"24,633.86"
28-Apr-20,"24,101.55"
27-Apr-20,"24,133.78"
24-Apr-20,"23,775.27"
23-Apr-20,"23,515.26"
22-Apr-20,"23,475.82"
21-Apr-20,"23,018.88"
20-Apr-20,"23,650.44"
17-Apr-20,"24,242.49"
16-Apr-20,"23,537.68"
15-Apr-20,"23,504.35"
14-Apr-20,"23,949.76"
13-Apr-20,"23,390.77"
9-Apr-20,"23,719.37"
8-Apr-20,"23,433.57"
7-Apr-20,"22,653.86"
6-Apr-20,"22,679.99"
3-Apr-20,"21,052.53"
2-Apr-20,"21,413.44"
1-Apr-20,"20,943.51"
31-Mar-20,"21,917.16"
30-Mar-20,"22,327.48"
27-Mar-20,"21,636.78"
26-Mar-20,"22,552.17"
25-Mar-20,"21,200.55"
24-Mar-20,"20,704.91"
23-Mar-20,"18,591.93"
20-Mar-20,"19,173.98"
19-Mar-20,"20,087.19"
18-Mar-20,"19,898.92"
17-Mar-20,"21,237.38"
16-Mar-20,"20,188.52"
13-Mar-20,"23,185.62"
12-Mar-20,"21,200.62"
11-Mar-20,"23,553.22"
10-Mar-20,"25,018.16"
9-Mar-20,"23,851.02"
6-Mar-20,"25,864.78"
5-Mar-20,"26,121.28"
4-Mar-20,"27,090.86"
3-Mar-20,"25,917.41"
2-Mar-20,"26,703.32"
28-Feb-20,"25,409.36"
27-Feb-20,"25,766.64"
26-Feb-20,"26,957.59"
25-Feb-20,"27,081.36"
24-Feb-20,"27,960.80"
21-Feb-20,"28,992.41"
20-Feb-20,"29,219.98"
19-Feb-20,"29,348.03"
18-Feb-20,"29,232.19"
14-Feb-20,"29,398.08"
13-Feb-20,"29,423.31"
12-Feb-20,"29,551.42"
11-Feb-20,"29,276.34"
10-Feb-20,"29,276.82"
7-Feb-20,"29,102.51"
6-Feb-20,"29,379.77"
5-Feb-20,"29,290.85"
4-Feb-20,"28,807.63"
3-Feb-20,"28,399.81"
31-Jan-20,"28,256.03"
30-Jan-20,"28,859.44"
29-Jan-20,"28,734.45"
28-Jan-20,"28,722.85"
27-Jan-20,"28,535.80"
24-Jan-20,"28,989.73"
23-Jan-20,"29,160.09"
22-Jan-20,"29,186.27"
21-Jan-20,"29,196.04"
17-Jan-20,"29,348.10"
16-Jan-20,"29,297.64"
15-Jan-20,"29,030.22"
14-Jan-20,"28,939.67"
13-Jan-20,"28,907.05"
10-Jan-20,"28,823.77"
9-Jan-20,"28,956.90"
